file,noise,fitness,precision,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total,SEQ share,XOR share,PAR share,LOOP share,AS-Resolved PAR-only
pdc2021_011101.xes,0.2,0.9720688053680893,0.20419248300897996,0.00,28.80,0.00,28.80,81.79,100.00,100.00,7.29,49.47,100.00,0.2727272727272727,0.35064935064935066,0.11688311688311688,0.2597402597402597,0.00
pdc2021_011101.xes,0.4,0.9316633980350338,0.2715043205027494,0.00,0.00,0.00,0.00,96.92,98.91,98.64,8.70,58.12,100.00,0.2987012987012987,0.2857142857142857,0.1038961038961039,0.3116883116883117,0.00
pdc2021_011101.xes,0.6,0.9142679484746293,0.7233115468409586,0.00,0.00,0.00,0.00,98.21,90.07,92.19,13.82,21.53,98.60,0.34782608695652173,0.37681159420289856,0.043478260869565216,0.2318840579710145,0.00
pdc2021_011101.xes,0.8,0.8286824609623687,0.7147540983606557,0.00,0.00,0.00,0.00,93.49,81.52,89.75,11.34,44.75,96.48,0.35294117647058826,0.29411764705882354,0.08823529411764706,0.2647058823529412,0.00
pdc2021_011101.xes,1.0,0.8072036471134612,0.43218390804597706,0.00,0.00,0.00,0.00,96.93,93.25,93.25,35.02,35.02,100.00,0.23809523809523808,0.47619047619047616,0.0,0.2857142857142857,0.00
pdc2021_011111.xes,0.0,1.0,0.1216529092007248,0.00,39.20,0.00,39.20,95.45,100.00,100.00,7.14,22.21,100.00,0.2625,0.475,0.075,0.1875,0.00
pdc2021_011111.xes,0.2,0.9709532796161818,0.18204582153471716,0.00,37.60,0.00,37.60,89.71,100.00,100.00,7.14,41.28,100.00,0.23863636363636365,0.38636363636363635,0.125,0.25,0.00
pdc2021_011111.xes,0.4,0.9306988456119053,0.2885321386348081,0.00,0.00,0.00,0.00,96.99,98.19,98.13,8.46,53.40,98.83,0.27848101265822783,0.31645569620253167,0.08860759493670886,0.31645569620253167,0.00
pdc2021_011111.xes,0.6,0.896262566161221,0.8159866777685263,0.00,0.00,0.00,0.00,98.35,93.07,95.06,10.06,19.22,99.45,0.35294117647058826,0.39705882352941174,0.029411764705882353,0.22058823529411764,0.00
pdc2021_011111.xes,0.8,0.8116687740723065,0.8159866777685263,0.00,0.00,0.00,0.00,85.15,67.54,71.28,18.71,40.66,92.59,0.38235294117647056,0.23529411764705882,0.07352941176470588,0.3088235294117647,0.00
pdc2021_011111.xes,1.0,0.8043331161935753,0.48330804248861914,0.00,0.00,0.00,0.00,96.96,93.31,93.31,33.98,33.98,100.00,0.2631578947368421,0.47368421052631576,0.0,0.2631578947368421,0.00
pdc2021_020011.xes,0.0,1.0,0.0726026549319948,0.00,71.20,0.00,71.20,88.49,100.00,98.57,4.26,63.68,100.00,0.275,0.5083333333333333,0.075,0.14166666666666666,0.00
pdc2021_020011.xes,0.2,0.9844597995370954,0.13875044499821998,0.00,71.20,0.00,71.20,91.39,100.00,100.00,4.26,41.04,100.00,0.28440366972477066,0.46788990825688076,0.09174311926605505,0.1559633027522936,0.00
pdc2021_020011.xes,0.4,0.921128049330714,0.34468601287673795,0.00,36.80,0.00,36.80,92.93,100.00,93.87,4.37,37.45,100.00,0.2761904761904762,0.3904761904761905,0.09523809523809523,0.23809523809523808,0.00
pdc2021_020011.xes,0.6,0.8576336588212604,0.6033755274261603,0.00,0.00,0.00,0.00,84.43,60.14,75.07,13.47,49.19,93.82,0.36046511627906974,0.3488372093023256,0.05813953488372093,0.23255813953488372,0.00
pdc2021_020011.xes,0.8,0.7672545468127737,0.34322118256022294,0.00,71.20,0.00,71.20,90.10,100.00,97.78,4.32,51.44,100.00,0.2903225806451613,0.34408602150537637,0.11827956989247312,0.24731182795698925,0.00
pdc2021_020011.xes,1.0,0.8445595803392641,0.14998274076631002,0.00,0.00,0.00,0.00,100.00,100.00,100.00,34.20,34.20,100.00,0.1875,0.5,0.0,0.3125,0.00
